cluster_id,cluster_name,ra,dec,z,shard,release
59,A2717,0.80042,-35.92722,0.049,4.0,idr5
60,A2734,2.83625,-28.855,0.0625,4.0,idr5
10,ESO351-021,13.74958505989797,-35.32152565268122,0.0571,2.0,dr4
11,A119,14.075486008623406,-1.2224055687607738,0.0442,2.0,dr4
61,A133,15.67542,-21.87361,0.0566,4.0,idr5
76,A2870,16.927374999999998,-46.908027777777775,0.0242,,dr4
80,A147,17.041666666666664,2.1666666666666665,0.0438,,dr4
52,[YMV2007]7609,17.09684,0.08978,0.0468803,3.0,dr4
62,A151,17.20875,-15.41,0.0533,4.0,idr5
63,A2877,17.50167,-45.92278,0.0247,4.0,idr5
12,A168,18.74048692881285,0.4375640471878422,0.045,2.0,dr4
13,MS0116.3-0115,19.72334228034064,-1.0019785128272227,0.0452,2.0,dr4
14,WHLJ012023-000444,20.096871146575225,-0.0847076723902566,0.078,2.0,dr4
1,A194,21.42,-1.4072,0.018,2.0,dr4
56,[YMV2007]514,24.30365,-0.50432,0.0561178,3.0,dr4
3,A267,28.17485,1.00709,0.2327,2.0,dr4
51,[YMV2007]7604,36.52796,-0.33192,0.0213109,3.0,dr4
15,MCXCJ0229.3-3332,37.3382343934264,-33.53990326655509,0.0792,2.0,dr4
41,WBL074,37.86906369,1.27074125,0.02251,3.0,dr4
53,WBL081,39.57169708,2.08227225,0.02192,3.0,dr4
54,A301,42.4,-31.1832,0.0223,3.0,dr4
16,NGC1132,43.2132268903597,-1.271903164156108,0.0231,2.0,dr4
55,[YMV2007]2116,46.37854,-0.40502,0.0281277,3.0,dr4
64,A3104,48.5825,-45.42417,0.073,4.0,idr5
17,A3112,49.49149527444406,-44.246826347018064,0.0753,2.0,dr4
18,A3122,50.56803296219322,-41.33773682585449,0.0643,2.0,dr4
39,A3128,52.55,-52.55,0.0554,3.0,dr4
19,A3135,53.50551410702306,-39.00798247687008,0.0642,2.0,dr4
20,Fornax,54.61904974699117,-35.451126473781095,0.0046,2.0,dr4
21,MCXCJ0340-4542,55.2022829640829,-45.68391077781654,0.0698,2.0,dr4
22,A3158,55.727287504913605,-53.64060882589355,0.0597,2.0,dr4
23,A3223,62.05924642639553,-30.89879811401812,0.0601,2.0,dr4
24,MCXCJ0413.9-3805,63.4968981102171,-38.09813867212916,0.0501,2.0,dr4
25,A463,67.28126223755511,-53.84043966990826,0.0394,2.0,dr4
36,A3266,67.85042,-61.44389,0.0589,2.0,dr4
4,MCXCJ0458.9-0029,74.72958,-0.48917,0.015,2.0,dr4
74,A3389,95.4475,-64.95972222222223,0.0267,,dr4
5,MCXCJ0920.0+0102,140.00208,1.04,0.0175,2.0,dr4
58,[YMV2007]4832,149.95647,-0.22369,0.0914,3.0,dr4
46,MKW1,150.1337,-2.9573,0.021,3.0,dr4
65,A957,153.41792,-0.91444,0.0436,4.0,idr5
66,A954,153.43668,-0.10861,0.0932,4.0,idr5
26,A970,154.3408962747333,-10.678698958905814,0.0587,2.0,dr4
57,A978,155.123,-6.51682,0.0527,3.0,dr4
44,NGC3258,157.148,-35.642,0.0093,3.0,dr4
81,Antlia,157.4212320833333,-35.32580777777778,0.011054,,dr4
35,Hydra,159.17416,-27.52444,0.0126,2.0,dr4
67,A1069,159.935,-8.68361,0.065,4.0,idr5
68,A1084,161.1375,-7.07278,0.1323,4.0,idr5
45,WBL288,162.44134478,0.35171497,0.03899,3.0,dr4
7,CL1058+0137,164.54578,1.60458,0.0395,2.0,dr4
8,MCXCJ1121.7+0249,170.42792,2.81833,0.0468,2.0,dr4
69,A1437,180.10583,3.33361,0.1345,4.0,idr5
27,MKW4,180.98840626585616,1.8882778057645984,0.02,2.0,dr4
75,A1520,184.8325,-13.26,0.0688,,dr4
40,A1631,193.201,-15.4332,0.0508,3.0,dr4
28,A1644,194.28518502734212,-17.399155010706817,0.0473,2.0,dr4
29,NGC5004,198.8498879547806,-16.385411915303113,0.0093,2.0,dr4
47,[YMV2007]3820,201.84586,1.26655,0.082009,3.0,dr4
42,A1750,202.80114554,-1.72057952,0.086,3.0,dr4
77,A3565,204.1625,-33.97166666666667,0.0109,,dr4
38,A3581,211.86708,-27.01528,0.023,2.0,dr4
49,[YMV2007]4713,214.32782,0.09457,0.0526413,3.0,dr4
48,[YMV2007]49,214.33151,2.34428,0.0551197,3.0,dr4
70,MKW8,220.15916,3.47639,0.027,4.0,idr5
50,WBL550,227.88442497,1.66216339,0.00673,3.0,dr4
78,A3716,312.8195833333333,-52.695277777777775,0.047,,dr4
30,A3733,315.45489590393345,-28.04221869897569,0.0382,2.0,dr4
82,IIZw108,316.06249999999994,0.7,0.04889,,dr4
31,A3744,316.8098188843714,-25.43913053468381,0.0381,2.0,dr4
9,IC1365,318.48291,2.56528,0.0493,2.0,dr4
32,RXJ2137.1+0026,324.27709646001455,0.4456146946823932,0.051,2.0,dr4
71,A3809,326.74084,-43.91,0.0623,4.0,idr5
79,MZ00407,329.63342687499994,-28.61671480555556,0.02168214,,dr4
72,A2415,331.41876,-5.59333,0.0581,4.0,idr5
33,A2440,335.9707524629287,-1.6412023195005754,0.0906,2.0,dr4
34,A3880,336.9650547250976,-30.56280225455338,0.0584,2.0,dr4
2,A2457,338.92,1.4849,0.0578,2.0,dr4
6,HCG97,356.84558,-2.32599,0.0218,2.0,dr4
37,A4038,356.92999,-28.14139,0.0282,2.0,dr4
43,A4049,357.898,-28.3666,0.0283,3.0,dr4
73,A4059,359.25958,-34.76056,0.0487,4.0,idr5
