clsid,clsid_old,name,ra,dec,z_spec,xray
1,1,A194,21.42,-1.40722,0.018,True
2,29,NGC5004,198.84988,-16.38553,0.0093,True
3,31,A3744,316.80124,-25.43806,0.0381,True
4,32,RXJ2137.1+0026,324.27792,0.4475,0.051,True
5,34,A3880,336.96832,-30.57,0.0584,True
6,36,A3266,67.85042,-61.44389,0.0589,True
7,37,A4038,356.92999,-28.14139,0.0282,True
8,38,A3581,211.86708,-27.01528,0.023,True
9,39,A3128,52.47917,-52.56667,0.0599,True
10,2,A2457,338.91998,1.48489,0.0578,True
11,42,A1750,202.80154,-1.71417,0.0837,True
12,64,A3104,48.5825,-45.42417,0.073,True
13,59,A2717,0.80042,-35.92722,0.049,True
14,61,A133,15.67542,-21.87361,0.0566,True
15,60,A2734,2.83625,-28.855,0.0625,True
16,65,A957,153.41792,-0.91444,0.0436,True
17,63,A2877,17.50167,-45.92278,0.0247,True
18,62,A151,17.20875,-15.41,0.0533,True
19,66,A954,153.43668,-0.10861,0.0932,True
20,73,A4059,359.25958,-34.76056,0.0487,True
21,72,A2415,331.41876,-5.59333,0.0581,True
22,71,A3809,326.74084,-43.91,0.0623,True
23,67,A1069,159.935,-8.68361,0.065,True
24,70,MKW8,220.15916,3.47639,0.027,True
25,30,A3733,315.45291,-28.035,0.0382,True
26,33,A2440,335.97043,-1.63778,0.0906,True
27,28,A1644,194.29042,-17.40028,0.0473,True
28,15,MCXCJ0229.3-3332,37.34292,-33.53778,0.0792,True
29,4,MCXCJ0458.9-0029,74.72958,-0.48917,0.015,True
30,5,MCXCJ0920.0+0102,140.00208,1.04,0.0175,True
31,6,HCG97,356.84558,-2.32599,0.0218,True
32,7,CL1058+0137,164.54578,1.60458,0.0395,True
33,8,MCXCJ1121.7+0249,170.42792,2.81833,0.0468,True
34,9,IC1365,318.48291,2.56528,0.0493,True
35,10,ESO351-021,13.74892,-35.3217,0.0571,True
36,27,MKW4,180.99054,1.88829,0.02,True
37,12,A168,18.73999,0.4308,0.045,True
38,13,MS0116.3-0115,19.72339,-1.00391,0.0452,True
39,14,WHLJ012023-000444,20.09641,-0.07898,0.078,True
40,11,A119,14.07625,-1.21667,0.0442,True
41,16,NGC1132,43.2163,-1.2747,0.0231,True
42,25,A463,67.2825,-53.8475,0.0394,True
43,18,A3122,50.57625,-41.33889,0.0643,True
44,19,A3135,53.50935,-39.00015,0.0642,True
45,20,Fornax,54.61625,-35.44833,0.0046,True
46,21,MCXCJ0340-4542,55.20625,-45.67778,0.0698,True
47,22,A3158,55.72458,-53.63528,0.0597,True
48,23,A3223,62.0675,-30.89444,0.0601,True
49,24,MCXCJ0413.9-3805,63.48792,-38.1,0.0501,True
50,17,A3112,49.49375,-44.23889,0.0753,True
51,26,A970,154.3475,-10.6775,0.0587,True
52,54,IC1860,42.4038,-31.1886,0.0223,True
53,52,[YMV2007]7609,17.09684,0.08978,0.0468803,False
54,53,WBL081,39.57169708,2.08227225,0.02192,False
55,55,[YMV2007]2116,46.37854,-0.40502,0.0281277,False
56,58,[YMV2007]4832,149.95647,-0.22369,0.0914,False
57,56,[YMV2007]514,24.30365,-0.50432,0.0561178,False
58,57,A978,155.123,-6.51682,0.0527,False
59,50,WBL550,227.88442497,1.66216339,0.00673,False
60,43,A4049,357.898,-28.3666,0.0283,False
61,44,NGC3258,157.148,-35.642,0.0093,False
62,51,[YMV2007]7604,36.52796,-0.33192,0.0213109,False
63,40,A1631,193.201,-15.4332,0.0508,False
64,41,WBL074,37.86906369,1.27074125,0.02251,False
65,47,[YMV2007]3820,201.84586,1.26655,0.082009,False
66,48,[YMV2007]49,214.33151,2.34428,0.0551197,False
67,45,WBL288,162.44134478,0.35171497,0.03899,False
68,46,MKW1,150.1337,-2.9573,0.021,False
69,49,[YMV2007]4713,214.32782,0.09457,0.0526413,False
70,77,A3565,204.1625,-33.97166666666667,0.0109,False
71,78,A3716,312.8195833333333,-52.695277777777775,0.047,False
72,74,A3389,95.4475,-64.95972222222223,0.0267,False
73,75,A1520,184.8325,-13.26,0.0688,False
74,76,A2870,16.9252,-46.9,0.025,False
